Event duration (s)	Mean event current (nA)	Peak current value (nA)	Event charge deficit (fC)	Time since last event (s)	Time in file/s	File number	Time in analysis (s)	Time since last in analysis (s)	Total analysis time (s)	
0.001600	-0.143568	-0.305598	229.515887	1000000.000000	0.109352	2.000000	3.109352	3.109352	2962.700000
0.001108	-0.231492	-0.378191	256.288538	1000000.000000	1.608112	11.000000	31.608112	28.498760	2962.700000
0.001136	-0.231396	-0.405635	262.689120	1000000.000000	1.966060	12.000000	34.966060	3.357948	2962.700000
0.001028	-0.172262	-0.287004	176.874166	1000000.000000	1.867644	44.000000	130.867644	95.901584	2962.700000
0.001532	-0.147706	-0.294298	226.085077	1000000.000000	2.542296	50.000000	149.542296	18.674652	2962.700000
0.001604	-0.138981	-0.273429	222.738503	1000000.000000	1.756604	80.000000	238.756604	89.214308	2962.700000
0.001584	-0.140895	-0.296912	222.980743	1000000.000000	1.874520	91.000000	271.874520	33.117916	2962.700000
0.001888	-0.169345	-0.336818	319.559065	1000000.000000	2.068080	127.000000	380.068080	108.193560	2962.700000
0.001632	-0.157469	-0.326366	256.807328	1000000.000000	1.470736	202.000000	604.470736	224.402656	2962.700000
0.001724	-0.137110	-0.282920	236.169407	1000000.000000	1.869892	207.000000	619.869892	15.399156	2962.700000
0.001660	-0.142267	-0.280803	235.945045	1000000.000000	2.157016	208.000000	623.157016	3.287124	2962.700000
0.001144	-0.155384	-0.294706	177.557138	1000000.000000	0.264912	231.000000	690.264912	67.107896	2962.700000
0.001992	-0.191498	-0.439130	381.289542	1000000.000000	2.735236	234.000000	701.735236	11.470324	2962.700000
0.001760	-0.155464	-0.315439	273.413955	1000000.000000	0.871268	256.000000	765.871268	64.136032	2962.700000
0.001556	-0.185286	-0.343203	288.110804	1000000.000000	1.887316	278.000000	832.887316	67.016048	2962.700000
0.001328	-0.201337	-0.341037	267.146743	1000000.000000	0.908172	290.000000	867.908172	35.020856	2962.700000
0.001344	-0.180438	-0.302028	242.304467	1000000.000000	1.029180	390.000000	1168.029180	300.121008	2962.700000
0.001512	-0.152945	-0.291443	231.051741	1000000.000000	2.786140	396.000000	1187.786140	19.756960	2962.700000
0.001456	-0.155776	-0.301097	226.629016	1000000.000000	0.668828	399.000000	1194.668828	6.882688	2962.700000
0.001800	-0.156470	-0.329853	281.422007	1000000.000000	0.502896	403.000000	1206.502896	11.834068	2962.700000
0.001428	-0.155522	-0.309713	221.903501	1000000.000000	0.298860	417.000000	1248.298860	41.795964	2962.700000
0.001668	-0.138879	-0.292839	231.449721	1000000.000000	2.004048	423.000000	1268.004048	19.705188	2962.700000
0.001336	-0.141074	-0.299423	188.295721	1000000.000000	0.280844	438.000000	1311.280844	43.276796	2962.700000
0.001332	-0.183672	-0.312285	244.440802	1000000.000000	0.759252	479.000000	1434.759252	123.478408	2962.700000
0.001176	-0.225524	-0.394326	265.054740	1000000.000000	0.385392	520.000000	1557.385392	122.626140	2962.700000
0.001668	-0.144179	-0.326883	240.295531	1000000.000000	1.624768	522.000000	1564.624768	7.239376	2962.700000
0.001788	-0.148174	-0.295092	264.730970	1000000.000000	2.945524	531.000000	1592.945524	28.320756	2962.700000
0.001708	-0.152114	-0.337807	259.611178	1000000.000000	1.942084	533.000000	1597.942084	4.996560	2962.700000
0.001488	-0.170004	-0.291940	252.755299	1000000.000000	1.990792	542.000000	1624.990792	27.048708	2962.700000
0.001560	-0.151227	-0.301540	235.768014	1000000.000000	2.580740	602.000000	1805.580740	180.589948	2962.700000
0.001484	-0.171004	-0.333825	253.561075	1000000.000000	0.483372	676.000000	2025.483372	219.902632	2962.700000
0.001712	-0.169968	-0.309336	290.808806	1000000.000000	1.712532	706.000000	2116.712532	91.229160	2962.700000
0.001376	-0.150264	-0.300443	206.565289	1000000.000000	1.730320	722.000000	2164.730320	48.017788	2962.700000
0.001740	-0.145162	-0.296344	252.402509	1000000.000000	2.390400	768.000000	2303.390400	138.660080	2962.700000
0.001136	-0.141232	-0.279040	160.231848	1000000.000000	0.388476	826.000000	2475.388476	171.998076	2962.700000
0.001804	-0.209465	-0.365876	377.688135	1000000.000000	0.944744	835.000000	2502.944744	27.556268	2962.700000
0.001688	-0.145670	-0.288309	245.697033	1000000.000000	2.984424	841.000000	2522.984424	20.039680	2962.700000
0.001580	-0.150247	-0.289108	237.213800	1000000.000000	2.534740	863.000000	2588.534740	65.550316	2962.700000
0.001812	-0.140085	-0.313858	253.652703	1000000.000000	0.194784	877.000000	2628.194784	39.660044	2962.700000
0.001872	-0.146835	-0.290502	274.676631	1000000.000000	2.316504	965.000000	2894.316504	266.121720	2962.700000
0.001828	-0.145240	-0.304593	265.323774	1000000.000000	1.770068	970.000000	2908.770068	14.453564	2962.700000
